names,importances,experiment_id,CO_MES,var_target
"('05~mes', '14~geo', '3102~prdt', 'kt')",0.017189598266022697,644d995a-3e56-4ae7-b675-ee357dfe7538,02~mes,kt
"('04~mes', '29~geo', '2009~prdt', 'preço_rel')",0.015844198674002236,644d995a-3e56-4ae7-b675-ee357dfe7538,02~mes,kt
ANO,0.0,644d995a-3e56-4ae7-b675-ee357dfe7538,02~mes,kt
"('07~mes', '-12:-46', 'mm')",0.02288801714431005,644d995a-3e56-4ae7-b675-ee357dfe7538,02~mes,oc
ANO,0.0,644d995a-3e56-4ae7-b675-ee357dfe7538,02~mes,oc
"('05~mes', '15~geo', '5201~prdt', 'kt')",0.017943380587498465,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,kt
"('01~mes', '10~geo', '0901~prdt', 'kt')",0.01792689699022003,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,kt
"('04~mes', '30~geo', '2710~prdt', 'kt')",0.01722542318759041,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,kt
"('12~mes', '-20:-46', 'mm')",0.01638604390102407,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,kt
"('07~mes', '14~geo', '4703~prdt', 'kt')",0.016352050409134667,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,kt
"('11~mes', '-14:-40', 'mm')",0.07017220816812632,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,oc
ANO,0.0,ee225cf4-a86b-4121-a8c2-38e88076fc4b,03~mes,oc
"('12~mes', '28~geo', '3102~prdt', 'kt')",0.018700829438545008,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,kt
"('07~mes', '28~geo', '2401~prdt', 'kt')",0.01816956887574567,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,kt
"('11~mes', '21~geo', '3808~prdt', 'preço_rel')",0.017815721776514266,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,kt
"('05~mes', 'DAP_spot')",0.01750384625212775,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,kt
"('12~mes', '6~geo', '3808~prdt', 'preço_rel')",0.01745201078167048,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,kt
"('02~mes', '-15:-39', 'mm')",0.06,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,oc
"('03~mes', '-15:-39', 'mm')",0.05,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,oc
"('12~mes', '14~geo', '1701~prdt', 'oc')",0.05,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,oc
ANO,0.0,ba5b21aa-4600-4b51-84e9-a192eb08dfcf,04~mes,oc
"('05~mes', '21~geo', '2510~prdt', 'kt')",0.04808888220348484,b04a02d0-4ffe-435f-aa7e-b09e85794cd0,05~mes,kt
"('09~mes', '6~geo', '2710~prdt', 'kt')",0.04004918363078268,b04a02d0-4ffe-435f-aa7e-b09e85794cd0,05~mes,kt
